Vértices,Densidade,Arestas,Dijkstra Clássico (ms),Artigo (ms),Bellman-Ford (ms)
50,0.2,531,0.28249999741092324,0.6700999947497621,6.3522999989800155
50,0.2,489,0.25200001255143434,0.5890000029467046,5.64120001217816
50,0.2,463,0.25240000104531646,0.534999999217689,5.446099996333942
50,0.2,497,0.25409999943803996,0.712199995177798,5.866100007551722
50,0.2,483,0.25830000231508166,0.5831000016769394,5.739800006267615
50,0.8,1936,0.3952000115532428,1.3495000021066517,24.023200006922707
50,0.8,1990,0.38749999657738954,1.1368999985279515,24.72269999270793
50,0.8,1970,0.3862000012304634,1.1060999968321994,23.82799999031704
50,0.8,1971,0.3853000089293346,1.0381999891251326,23.543899995274842
50,0.8,1938,0.38579999818466604,1.015500005451031,22.740699991118163
100,0.2,1911,0.9194000012939796,1.9770000071730465,46.650700009195134
100,0.2,2014,0.9324999991804361,1.9906000088667497,48.65060000156518
100,0.2,2001,1.0860999900614843,2.166999998735264,48.07299999811221
100,0.2,2016,0.9547999943606555,1.7657999997027218,48.73579999548383
100,0.2,1960,0.9294000046793371,1.7148999904748052,46.62929999176413
100,0.5,4965,1.24379999761004,4.012400007923134,116.34680000133812
100,0.5,4944,1.2452000082703307,3.9429000025847927,118.17940000037197
100,0.5,4896,1.2064999900758266,4.288199997972697,118.57449999661185
100,0.5,4988,1.3328999921213835,4.463299992494285,121.58669999917038
100,0.5,4943,1.335100008873269,4.201399991870858,120.40199998591561
100,0.8,7931,1.6821000026538968,6.284299990511499,190.2330000011716
100,0.8,7870,1.4698000013595447,4.642200001399033,205.75819999794476
100,0.8,7881,1.484399996115826,7.841099999495782,195.57349999377038
100,0.8,7895,1.5510000084759668,6.211899992194958,192.16279999818653
100,0.8,7956,1.5050999936647713,4.874499994912185,194.50050000159536
200,0.2,7935,4.023100002086721,7.020299992291257,383.96629999624565
200,0.2,7902,3.616699992562644,7.112899998901412,387.6922000054037
200,0.2,7871,3.7360999995144084,6.890100004966371,385.7795000076294
200,0.2,7888,3.7182999949436635,6.343499990180135,378.06649999402
200,0.2,8021,3.592000008211471,5.633900000248104,381.6324999934295
300,0.1,9007,7.446699994034134,3.7900000024819747,643.9553000091109
300,0.1,8970,7.439299995894544,3.6385999992489815,653.2034999981988
300,0.1,8992,8.38740001199767,3.3470000053057447,643.4182999946643
300,0.1,8947,7.360500007052906,3.160699998261407,644.2594000109239
300,0.1,8939,7.643499993719161,3.1783000013092533,632.5188999908278
400,0.05,7993,13.163199997507036,3.7948000099277124,783.77460000047
400,0.05,7900,13.000699997064658,4.139500000746921,765.5374000023585
400,0.05,7893,12.634900005650707,3.67960000585299,751.273100002436
400,0.05,8121,12.379399995552376,3.534200004651211,782.6230000064243
400,0.05,7860,12.76559999678284,3.7272999907145277,747.4500999960583
500,0.02,5058,20.464200002606958,2.970500005176291,603.177400000277
500,0.02,4895,19.34209998580627,3.560999990440905,600.5042999895522
500,0.02,4891,19.622799998614937,3.245900006731972,586.5563999977894
500,0.02,4949,19.1668000043137,3.1611999875167385,597.0280000037747
500,0.02,4956,19.56909999717027,3.2423999946331605,592.0664000004763
1000,0.01,10081,77.7080000116257,4.731900000479072,2398.505599994678
1000,0.01,9917,83.0324999988079,20.48790000844747,2372.8588999947533
1000,0.01,10053,79.98049999878276,5.411800011643209,2401.56399999978
1000,0.01,10108,80.15799999702722,5.562200007261708,2407.769900004496
1000,0.01,9932,78.87929999560583,5.608099992969073,2372.2309000004316
2000,0.005,19884,312.89219998870976,8.894600003259256,9359.75000000326
2000,0.005,19947,317.23079999210313,9.015000003273599,9398.484099991038
2000,0.005,20013,316.1447999882512,9.742599999299273,9461.82840000256
2000,0.005,19888,316.75120000727475,8.745200000703335,9346.71559999697
2000,0.005,20080,314.5820000063395,9.644000005209818,9501.423800000339
